,date,open,high,low,close,volume,stock_name,%_change,change,year,quarter,month
1453,2024-05-21,59900,62800,58700,61500,1959900,CMG,4.24,2500.0,2024,2,5
1454,2024-05-22,62100,63500,60200,61200,1584400,CMG,-0.49,-300.0,2024,2,5
1455,2024-05-23,61200,64400,61100,63600,3065000,CMG,3.92,2400.0,2024,2,5
1456,2024-05-24,63000,63600,59500,59700,2640300,CMG,-6.13,-3900.0,2024,2,5
1457,2024-05-27,60500,61100,57000,59000,2265500,CMG,-1.17,-700.0,2024,2,5
1458,2024-05-28,59800,62400,59200,62100,1479800,CMG,5.25,3100.0,2024,2,5
1459,2024-05-29,62100,63400,60000,60000,2384000,CMG,-3.38,-2100.0,2024,2,5
1460,2024-05-30,59000,60100,58100,59200,1814100,CMG,-1.33,-800.0,2024,2,5
1461,2024-05-31,60000,61400,59500,60900,1017900,CMG,2.87,1700.0,2024,2,5
1462,2024-06-03,61600,65099,61600,65099,4461800,CMG,6.89,4199.0,2024,2,6
1463,2024-06-04,67500,69600,67100,68500,2789900,CMG,5.22,3401.0,2024,2,6
1464,2024-06-05,69400,72000,67200,67200,2540900,CMG,-1.9,-1300.0,2024,2,6
1465,2024-06-06,68400,69300,67400,68400,2175800,CMG,1.79,1200.0,2024,2,6
1466,2024-06-07,69500,69700,67600,68400,1433000,CMG,0.0,0.0,2024,2,6
1467,2024-06-10,69500,69600,68100,69500,1236900,CMG,1.61,1100.0,2024,2,6
1468,2024-06-11,69500,71000,67300,68600,2251100,CMG,-1.29,-900.0,2024,2,6
1469,2024-06-12,68400,70500,67800,69600,2035800,CMG,1.46,1000.0,2024,2,6
1470,2024-06-13,71000,72100,70000,70000,1468000,CMG,0.57,400.0,2024,2,6
1471,2024-06-14,70200,74600,69100,70000,3529700,CMG,0.0,0.0,2024,2,6
1472,2024-06-17,70200,71000,67900,67900,3818300,CMG,-3.0,-2100.0,2024,2,6
1473,2024-06-18,68800,69400,68200,68400,1392400,CMG,0.74,500.0,2024,2,6
1474,2024-06-19,68400,70500,67400,69900,2326700,CMG,2.19,1500.0,2024,2,6
1475,2024-06-20,70000,71700,69100,69900,1699600,CMG,0.0,0.0,2024,2,6
1476,2024-06-21,70500,71900,69500,70600,2022100,CMG,1.0,700.0,2024,2,6
1477,2024-06-24,70400,70500,65700,66400,3818000,CMG,-5.95,-4200.0,2024,2,6
